DMA_Write(00000000, 00002710)
DMA_Write(00000004, 000003E8)
DMA_Write(00000008, 00002710)
DMA_Write(0000000C, 000003E9)
DMA_Write(00000010, 00002711)
DMA_Write(00000014, 000003EA)
DMA_Write(00000018, 00002712)
DMA_Write(0000001C, 000003EB)
DMA_Write(00000020, 00002713)
DMA_Write(00000024, 000003EC)
DMA_Write(00000028, 00002714)
DMA_Write(0000002C, 000003ED)
DMA_Write(00000030, 00002715)
DMA_Write(00000034, 000003EE)
DMA_Write(00000038, 00002716)
DMA_Write(0000003C, 000003EF)
DMA_Write(00000040, 00002717)
DMA_Write(00000044, 000003F0)
DMA_Write(00000048, 00002718)
DMA_Write(0000004C, 000003F1)
DMA_Write(00000050, 00002719)
DMA_Write(00000054, 000003F2)
DMA_Write(00000058, 0000271A)
DMA_Write(0000005C, 000003F3)
DMA_Write(00000060, 0000271B)
DMA_Write(00000064, 000003F4)
DMA_Write(00000068, 0000271C)
DMA_Write(0000006C, 000003F5)
DMA_Write(00000070, 0000271D)
DMA_Write(00000074, 000003F6)
DMA_Write(00000078, 0000271E)
DMA_Write(0000007C, 000003F7)
DMA_Write(00000080, 0000271F)
DMA_Write(00000084, 000003F8)
DMA_Write(00000088, 00002720)
DMA_Write(0000008C, 000003F9)
DMA_Write(00000090, 00002721)
DMA_Write(00000094, 000003FA)
DMA_Write(00000098, 00002722)
DMA_Write(0000009C, 000003FB)
DMA_Write(000000A0, 00002723)
DMA_Write(000000A4, 000003FC)
DMA_Write(000000A8, 00002724)
DMA_Write(000000AC, 000003FD)
DMA_Write(000000B0, 00002725)
DMA_Write(000000B4, 000003FE)
DMA_Write(000000B8, 00002726)
DMA_Write(000000BC, 000003FF)
DMA_Write(000000C0, 00002727)
DMA_Write(000000C4, 00000400)
DMA_Write(000000C8, 00002728)
DMA_Write(000000CC, 00000401)
DMA_Write(000000D0, 00002729)
DMA_Write(000000D4, 00000402)
DMA_Write(000000D8, 0000272A)
DMA_Write(000000DC, 00000403)
DMA_Write(000000E0, 0000272B)
DMA_Write(000000E4, 00000404)
DMA_Write(000000E8, 0000272C)
DMA_Write(000000EC, 00000405)
DMA_Write(000000F0, 0000272D)
DMA_Write(000000F4, 00000406)
DMA_Write(000000F8, 0000272E)
DMA_Write(000000FC, 00000407)
DMA_Write(00000100, 0000272F)
DMA_Write(00000104, 00000408)
DMA_Write(00000108, 00002730)
DMA_Write(0000010C, 00000409)
DMA_Write(00000110, 00002731)
DMA_Write(00000114, 0000040A)
DMA_Write(00000118, 00002732)
DMA_Write(0000011C, 0000040B)
DMA_Write(00000120, 00002733)
DMA_Write(00000124, 0000040C)
DMA_Write(00000128, 00002734)
DMA_Write(0000012C, 0000040D)
DMA_Write(00000130, 00002735)
DMA_Write(00000134, 0000040E)
DMA_Write(00000138, 00002736)
DMA_Write(0000013C, 0000040F)
DMA_Write(00000140, 00002737)
DMA_Write(00000144, 00000410)
DMA_Write(00000148, 00002738)
